barcode,vc1,s61_vc12,s40_vc16,s41_vc16,vc66_iv1,vc67_iv1,vc1_iv1,vc10_iv1,vc11_iv1,vc12_iv1,vc13_iv1,vc14_iv1,vc15_iv1,vc16_iv1,vc17_iv1,vc18_iv1,vc19_iv1,vc2_iv1,vc20_iv1,vc21_iv1,vc22_iv1,vc23_iv1,vc24_iv1,vc25_iv1,vc26_iv1,vc27_iv1,vc28_iv1,vc29_iv1,vc3_iv1,vc30_iv1,vc31_iv1,vc32_iv1,vc33_iv1,vc36_iv1,vc37_iv1,vc38_iv1,vc39_iv1,vc4_iv1,vc40_iv1,vc41_iv1,vc42_iv1,vc43_iv1,vc44_iv1,vc45_iv1,vc46_iv1,vc47_iv1,vc48_iv1,vc49_iv1,vc5_iv1,vc50_iv1,vc51_iv1,vc52_iv1,vc53_iv1,vc54_iv1,vc55_iv1,vc56_iv1,vc57_iv1,vc58_iv1,vc59_iv1,vc6_iv1,vc60_iv1,vc61_iv1,vc62_iv1,vc63_iv1,vc64_iv1,vc65_iv1,vc7_iv1,vc8_iv1,vc9_iv1,s34_vc5,s35_vc5,s36_vc5,s37_vc5,s38_vc5,s39_vc5,s40_vc5,s41_vc5,s42_vc5,s43_vc5,s44_vc5,s45_vc5,s46_vc5,s47_vc5,s48_vc5,s49_vc5,s50_vc5,s51_vc5,s52_vc5,s53_vc5,s54_vc5,s55_vc5,s56_vc5,s57_vc5,s58_vc5,s59_vc5,s60_vc5,s61_vc5,s62_vc5,s63_vc5,s64_vc5,s65_vc6,s66_vc6,s67_vc6,s68_vc6,s69_vc6,s70_vc6,s71_vc6,s72_vc6,s73_vc6,s74_vc6,s75_vc6,s76_vc6,s77_vc6,s78_vc6,s79_vc6,s80_vc6,s81_vc6,s82_vc6,s83_vc6,s84_vc6,s85_vc6,s86_vc6,s87_vc6,s88_vc6,s89_vc6,s90_vc6,s91_vc6,s92_vc6,s93_vc6,s94_vc6,s95_vc6,s96_vc6,s97_vc6,s98_vc6,s99_vc6,s100_vc6,s101_vc6,s102_vc6,s103_vc6,s104_vc6,s105_vc6,s106_vc6,s107_vc6,s108_vc6,s109_vc6,s110_vc6,s111_vc6,s112_vc6,s113_vc6,s114_vc6,s115_vc6,s116_vc6,s117_vc6,s118_vc6,s119_vc6,s120_vc6,s121_vc6,s122_vc6,s123_vc6,s124_vc6,s125_vc6,s126_vc6,s127_vc6,s128_vc6,s1_vc09,s10_vc09,s11_vc09,s12_vc09,s13_vc09,s14_vc09,s15_vc09,s16_vc09,s17_vc09,s18_vc09,s19_vc09,s2_vc09,s20_vc09,s21_vc09,s22_vc09,s23_vc09,s24_vc09,s25_vc09,s26_vc09,s27_vc09,s28_vc09,s29_vc09,s3_vc09,s30_vc09,s4_vc09,s5_vc09,s6_vc09,s7_vc09,s8_vc09,s9_vc09,s1_vc13,s10_vc13,s11_vc13,s12_vc13,s13_vc13,s14_vc13,s15_vc13,s16_vc13,s17_vc13,s18_vc13,s19_vc13,s2_vc13,s20_vc13,s21_vc13,s22_vc13,s23_vc13,s24_vc13,s25_vc13,s26_vc13,s27_vc13,s28_vc13,s29_vc13,s3_vc13,s30_vc13,s31_vc13,s32_vc13,s33_vc13,s34_vc13,s35_vc13,s36_vc13,s37_vc13,s38_vc13,s39_vc13,s4_vc13,s40_vc13,s41_vc13,s42_vc13,s43_vc13,s44_vc13,s45_vc13,s5_vc13,s6_vc13,s7_vc13,s8_vc13,s9_vc13,s1_vc17,s10_vc17,s11_vc17,s12_vc17,s13_vc17,s14_vc17,s15_vc17,s16_vc17,s17_vc17,s18_vc17,s19_vc17,s2_vc17,s20_vc17,s21_vc17,s22_vc17,s23_vc17,s24_vc17,s25_vc17,s26_vc17,s27_vc17,s28_vc17,s29_vc17,s3_vc17,s30_vc17,s31_vc17,s32_vc17,s33_vc17,s34_vc17,s35_vc17,s36_vc17,s37_vc17,s38_vc17,s39_vc17,s4_vc17,s40_vc17,s41_vc17,s42_vc17,s5_vc17,s6_vc17,s7_vc17,s8_vc17,s9_vc17
lm1 mapping,659,4141,2558,3201,1500,1451,61,0,95,36,328,2,787,241,582,1,251,2,480,850,330,4190,36,145,1638,359,2549,19,215,519,2819,68,728,2013,2,3072,16841,2855,14,2,1,2,57,1,18,2968,28,1154,56,2,403,549,885,2,9,0,4,400,212,990,8,1,39,22,0,61,50,712,1744,594,0,0,1,0,4,0,3,0,0,0,419,0,3278,1258,440,0,0,0,0,0,0,0,0,134,0,0,0,0,2,0,3,247,0,3,1,1086,0,0,7901,71,0,2,1726,308,2,0,2335,2224,0,2,0,0,0,0,11,1,0,3764,4,1,2,0,9,2,0,3,2,1,1,0,6,0,0,1,0,0,0,2270,4,2,1,2,293,1,78,0,9,1,260,632,679,970,659,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673,213,1334,438,2994,6281,498,0,2853,0,0,0,0,0,0,44668,39,291,0,2041,1357,1225,542,0,278,0,0,28520,3308,2589,1677,2089,0,0,188,1418,4687,16,1926,1290,1526,0,0,0,0,0,0,0,0,0,3,0,0,0,1127,0,0,0,49,21,0,0,0,0,6855,0,0,0,231,1764,2524,0,0,5951,0,0,0,0,3344,7720,27246,7243,0,0,0,0,0,0,4172,0,0,0,0,446364,945,0,2165,0,0,0,0,0
lm2 mapping,373,2082,519,438,773,722,51,0,0,45,0,3,1106,267,214,0,104,1,768,90,244,27,759,1,671,1018,186,42,0,33,573,0,724,1,1,0,3,1208,0,0,2,0,1,0,2,3,1,0,32,0,0,1,0,3,3,0,1,0,0,640,4,0,0,2,0,0,6,30,473,310,0,0,0,0,0,2,0,1,0,0,0,0,0,2547,559,0,0,0,0,0,0,2,1,31,0,0,0,490,0,1,0,0,0,8,1651,1138,0,0,418,204,0,1089,751,1088,0,841,2029,1324,0,4,5,1,0,0,5,1,0,6118,3,3,0,1,2,2,0,7,0,1,0,1,3,1,0,1,2,0,0,0,1,0,0,6,1,2,0,0,1,0,24,471,297,155,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2207,478,0,0,1468,0,661,0,804,0,0,0,0,0,0,0,375,1,136,0,3590,1814,5354,0,2398,0,0,1548,0,1400,5033,7414,0,0,36,4,0,0,6389,4371,9262,0,2240,0,116,0,228,0,827,1379,0,0,16,1028,574,2,167,5,2234,0,0,0,0,0,0,0,0,0,0,917,703,0,7208,1986,0,0,0,0,1277,1904,2103,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0
lm3 mapping,928,5573,1457,3810,1828,1998,85,714,68,109,0,51,4066,159,1695,2,622,5,2066,481,1551,23,1,2,626,207,1445,45,2,70,1206,363,308,1346,0,1031,3,2595,1,1,1,3,24,2,8,1791,1,1367,1169,0,704,1505,1,1,4,0,4,365,3,1802,1548,0,2,5,1,0,231,113,1626,708,0,0,1,0,150863,1,4,0,0,0,0,0,5523,1305,2644,1,0,0,0,0,32,0,1,85,0,0,0,0,38,0,1,4,1,1,120,1125,0,3,26,74,0,2582,3827,1510,54,3108,4633,1514,0,1,4132,0,2,1,4,4,1,1,189,2,1,1,0,3,2,1,329289,2,2,0,1,2,0,1,1851,687,1,776,4,1,1,182,150,6,378,2,1,1240,751,446,3054,1140,896,379,0,0,0,0,0,0,0,0,0,0,0,154814,0,0,0,828,1610,1134,0,2607,0,3143,0,1369,0,0,0,0,0,0,0,0,253,88,127,3890,4263,1250,0,1323,0,0,780,471,2025,2538,79,0,0,45,0,91,0,5799,7785,2165,0,7,1146,0,0,0,8,0,331,0,303,931,0,1804,0,49892,0,0,0,0,0,12965,0,8551,0,0,0,0,542,6813,0,0,3598,0,0,0,0,76,13121,0,18346,0,0,0,0,0,0,0,0,0,0,61,0,0,0,2538,0,0,0,0,3711
lm4 mapping,956,7598,3760,1751,2064,1805,177,3,174,45,21,135,2426,374,1102,10,347,224,1231,539,551,117,3,796,2730,2070,1763,17393,770,1218,3451,2503,1978,54,10,0,11,2133,2,4,1823,2,26,8,5,784,3,335,576,2,40,1587,3,4,21,1,3,2152,26,1487,7524,144,228,7123,3,200,44,28,1193,1148,0,0,0,2,0,0,6,1,0,2697,1002,2923,3775,1506,4084,1,0,1,0,0,0,1,3,659,0,1,0,0,2,2,6,10,0,13468,3398,1635,2,11715,28,276,414,5089,938,2867,2071,5319,1245,2765,0,4,0,3,5,36,7,2,2,12,0,2,7,60,3,0,1,14,2,6,8,65,6,2,0,13,599,6,3,1022,4439,0,1,14,1,4,8,83351,11,2,267,750,84,825,3367,532,0,0,0,0,0,0,62332,0,0,2024,23768,0,0,0,0,2307,2224,506,1259,2809,2085,1024,0,2555,0,0,0,0,0,0,0,0,0,196531,2861,6659,4510,1942,435,1672,277,485,302,7068,9634,3952,1368,0,1097,82,0,3750,32,7678,10475,3318,9,0,543,0,0,0,0,0,402,344,20,2988,0,2137,267,578,18,547,0,0,0,0,0,827,0,0,0,0,3391,4977,0,8436,4041,0,0,0,0,1270,5403,2040,4382,0,209,0,0,8,0,0,0,0,0,0,1726,0,0,4480,0,0,0,0,0
lm5 mapping,1026,6223,1237,2168,2887,3180,170,2400,1819,136,7,411,2070,148,1159,8,440,29,1012,878,451,578,0,5,3362,1389,4183,36,15,1176,3330,191,1697,426,2,2,9,1065,0,2,798,12,33,3,23,3586,8,596,846,3274,749,2288,1109,5,598,3,2,4441,1401,429,3529,1,109,1410,251,322,17,42,501,1196,0,0,1,1,0,1,2,1,0,0,3412,5505,0,3216,3773,0,0,0,1,0,0,1,3,39,0,0,1,1,0,1,1,5,1,3389,450,1312,36,61,7,261,2,3347,1580,269,33,1710,2034,1982,1,2,0,1,22,2,23,4,1,4689,3,1,57093,1,3,2,1,9,1,5,40,2,2,1,0,8,614,2230,36,1015,4,1,0,201,29,112,44,2,2067,0,663,1324,2143,1582,692,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,1777,586,1439,3541,887,7285,0,5302,0,0,0,0,0,0,0,0,0,301,551,3464,4737,3392,231,833,58,0,952,3574,3077,4137,2568,0,0,2223,1963,1587,42,4273,14437,4905,0,0,448,0,0,187,0,66,3274,236,355,1334,217,2294,18,0,17,6,0,0,0,0,0,3837,0,42195,0,238,2897,10154,0,3958,5572,0,10,0,0,6014,29457,86,13642,0,0,0,0,402,0,0,0,0,0,0,0,0,0,3055,0,0,0,3876,0
lm6 mapping,728,4382,0,534,1741,1719,77,1,14572,95,7,730,3175,159,1775,1,243,2,1539,548,822,4,0,5,87,19,553,7,141,6,234,68,1,3247,0,871,1,1879,0,6,2,18,9,5,12,705,0,1404,1916,6,308,599,1135,5017,7,0,5,362,24,2226,1753,5,49,1148,0,0,14,24,1003,727,0,0,2,0,0,3,1,1,0,0,1588,0,0,1380,2159,0,0,0,0,0,0,537,62,446,0,0,0,0,0,1,8,5,2,6416,1209,4504,15,0,31,319,1,1814,835,1631,691,559,1766,4203,0,3,3,5,7,0,15,0,2,7,4,3,22,0,6,4,1,9,5,10,16,0,9,2,1,8,2702,5,6464,809,11,2,0,74,7,5,15329,2,7876,2,727,461,2129,2261,942,312,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,1457,76,4389,436,3464,0,2222,0,2209,0,0,0,0,0,0,51,326,0,210,2113,3935,3461,1304,37,2052,52,95,460,3233,4144,1838,964,0,18,3,0,911,44,5362,4956,2643,0,1403,0,26,0,2211,2,61,101,0,0,439,152,1366,262,0,8,379,0,0,0,6151,0,227,0,18022,0,0,448,6818,0,301,0,0,38201,0,0,2838,7129,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3197,0,0,0,0,0
lm7 mapping,771,6260,1150,2731,1614,2373,683,532,363,280,1,115,5266,638,2684,18,683,5,2424,541,2465,27,0,5,1109,158,1126,12,253,118,1429,1,119,6,1,1,8,3771,0,6,1139,10,9,1377,14,3318,2,1437,876,2138,3111,1681,1101,2,12,3,7,1235,26,2692,25,4,9,12,0,37,30,84,1652,756,0,1,1,0,0,1,1,1,0,0,2622,1,0,1897,1184,2,0,0,0,0,0,2,2,896,0,0,1,0,0,0,374,397,1,1,1598,6031,0,0,12,331,1,1,2328,3619,277,1,3132,6189,0,1,2,26,1,2,13,5,0,0,3,6,0,1,20,4,2,1,1,4,1,1,13,1,1,0,286,6,1,1684,5035,1,2,89,5,66,3,59,9721,2,1321,301,1261,1195,693,374,0,0,0,0,0,0,0,0,0,0,3331,0,0,0,0,925,1663,7004,1164,2102,10624,2398,0,2715,0,0,0,0,0,0,0,0,190,403,0,4125,8794,3061,0,3010,1283,211,1428,433,6317,5755,4945,40019,0,0,10190,358,173,7054,27286,5600,0,0,4822,0,0,174,36543,42,6,0,58,4834,348,1528,2,0,1793,35,2,0,0,5850,0,0,0,0,0,0,451,5756,12261,1157,0,0,0,0,0,0,6975,10255,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,2195,0,0,0,0,17
lm8 mapping,95,527,0,0,317,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1768,0,540,0,0,0,73,0,420,1,174,0,208,0,981,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,2,297,0,0,597,0,0,2,103,3,2,0,0,0,92,116,97,383,272,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,343,764,190,616,0,478,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,155,0,0,0,498,0,0,1,3,0,0,0,0,253,0,0,0,0,0,0,2,8,0,0,0,0,0,89,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0
lm9 mapping,663,3113,292,1250,1099,957,34,3,111,20,127,0,539,5,102,3,193,6,233,268,0,6,25,402,881,321,907,4,0,69,815,125,869,5,0,0,2,1029,0,0,2,2,3,0,3,7,0,0,256,2,0,9,0,0,3,184,2,1847,2,1167,2346,1,43,495,0,227,17,36,448,497,0,0,2,0,0,1,0,0,0,0,1624,896,0,391,508,2,0,0,0,1,0,0,1,1728,0,0,0,0,0,0,2,1,0,40,5479,2246,0,144,21,221,0,359,1929,1378,1,8211,6203,1820,0,29,5,5715,1,2,6,1,0,82,4,5,0,7,2,45,0,130601,3,4,0,4,3,0,0,46,549,497,0,969,4,3,0,46,21,4,20,8,2,1,58,1681,2,815,578,305,50369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,233,221,923,1689,1658,0,0,0,0,0,0,0,0,36,0,0,414,6519,131,848,3545,587,22,0,0,1488,8569,259,1319,5281,0,0,12,10,5828,0,109,980,7426,449,0,0,0,10406,1449,0,11,5616,525,0,0,486,807,14,0,2,240,0,0,0,0,0,227,0,0,0,0,1898,3454,0,2092,2846,0,0,0,774,5034,2733,0,1881,0,0,0,0,0,0,0,0,0,0,0,155,0,0,1145,0,0,0,0,0
lm10 mapping,695,4101,827,7808,1767,1778,34,1,85,79,8,5,1153,523,677,1,171,4,452,573,499,133,162,47,2214,2449,1477,289,25,224,2554,101,3983,12,2,3,2,1138,0,3,1616,11,2,3,3,209,1,123,55,0,9066,3,2288,0,11,0,5,144,29,1833,4,8,2,8,19,172,7,43,1054,573,0,0,5,0,8,1,0,7,0,0,4242,767,13,2609,0,2,0,0,3,1,4,0,31,37,0,0,1,499,6,0,0,3,0,1,1767,1767,1,0,351,75,0,0,1682,955,0,3,1863,2263,1,1,3,0,0,0,2,2,0,1,5,2,0,0,3,5,0,0,4,3,0,0,3,1,0,0,6,3,0,96,1353,2,0,2,14,11,39,1,0,1632,356,393,2782,437,399,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,688,2861,0,3221,4627,2141,0,2447,0,0,0,0,0,0,401,6134,0,97,2537,1640,1821,3362,287,491,119,29,1453,3544,928,4706,3742,0,0,0,2933,7002,0,2459,2446,8479,522,0,0,763,0,7,3,298,55,0,0,113,597,1342,8,0,8,0,0,0,0,0,0,2655,0,0,0,0,0,3173,0,1349,2961,0,0,0,0,0,1073,4631,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2128,0,0,0,0,0
