"","s58_vc09","s59_vc09","s60_vc09","s1_vc10","s10_vc10","s11_vc10","s12_vc10","s13_vc10","s14_vc10","s15_vc10","s16_vc10","s17_vc10","s18_vc10","s19_vc10","s2_vc10","s3_vc10","s4_vc10","s5_vc10","s6_vc10","s7_vc10","s8_vc10","s9_vc10","s63_vc11","s64_vc11","s46_vc16","s47_vc16","s48_vc16","s49_vc16","s50_vc16","s51_vc16","s52_vc16","s53_vc16","s54_vc16","s55_vc16","s56_vc16","s57_vc16","s58_vc16","s59_vc16","s60_vc16","s61_vc16","s62_vc16","s63_vc16","s64_vc16","s43_vc17","s44_vc17","s45_vc17","s46_vc17","s47_vc17","s48_vc17","s49_vc17","s50_vc17","s51_vc17","s52_vc17","s53_vc17","s54_vc17","s55_vc17","s56_vc17","s57_vc17","s58_vc17","s59_vc17","s60_vc17"
"s58_vc09",1,0.851741100559892,0.847890123234528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887084030835892,0.883542589579124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s59_vc09",0.871758125035457,1,0.881444083204551,0,0,0,0,0,0,0,0,0,0,0,0.2998754749572,0,0,0,0,0,0,0,0.905460339849507,0.90386149837093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s60_vc09",0.865103168605983,0.878687997008852,1,0.602059991327962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911724103408162,0.911724103408162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s1_vc10",0,0,0.284804221773949,1,0,0,0,0,0,0,0,0,0,0,0.18920035951687,0.630929753571457,1,1,0,0,0,0,0.131324767518597,0.131324767518597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0
"s10_vc10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s11_vc10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s12_vc10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s13_vc10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s14_vc10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15_vc10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16_vc10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s17_vc10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s18_vc10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s19_vc10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
