,,KPPR1_Lung_272,KPPR1_Spleen_272,KPPR1_Liver_272,KPPR1_Blood_272,KPPR1_Lung_273,KPPR1_Spleen_273,KPPR1_Liver_273,KPPR1_Blood_273,KPPR1_Lung_274,KPPR1_Spleen_274,KPPR1_Liver_274,KPPR1_Blood_274,KPPR1_Lung_280,KPPR1_Spleen_280,KPPR1_Liver_280,KPPR1_Blood_280,KPPR1_Lung_281,KPPR1_Spleen_281,KPPR1_Liver_281,KPPR1_Blood_281,KPPR1_Lung_282,KPPR1_Spleen_282,KPPR1_Liver_282,KPPR1_Blood_282,CCR2_Lung_275,CCR2_Spleen_275,CCR2_Liver_275,CCR2_Blood_275,CCR2_Lung_276,CCR2_Spleen_276,CCR2_Liver_276,CCR2_Blood_276,CCR2_Lung_277,CCR2_Spleen_277,CCR2_Liver_277,CCR2_Blood_277,CCR2_Lung_278,CCR2_Spleen_278,CCR2_Liver_278,CCR2_Blood_278,CCR2_Lung_279,CCR2_Spleen_279,CCR2_Liver_279,CCR2_Blood_279,CCR2_Lung_284,CCR2_Spleen_284,CCR2_Liver_284,CCR2_Blood_284,CCR2_Lung_285,CCR2_Spleen_285,CCR2_Liver_285,CCR2_Blood_285,CCR2_Lung_286,CCR2_Spleen_286,CCR2_Liver_286,CCR2_Blood_286
,,ch9_ch03,ch10_ch03,ch11_ch03,ch12_ch03,ch13_ch03,ch14_ch03,ch15_ch03,ch16_ch03,ch17_ch03,ch18_ch03,ch19_ch03,ch20_ch03,ch41_ch03,ch42_ch03,ch43_ch03,ch44_ch03,ch45_ch03,ch46_ch03,ch47_ch03,ch48_ch03,ch49_ch03,ch50_ch03,ch51_ch03,ch52_ch03,ch21_ch03,ch22_ch03,ch23_ch03,ch24_ch03,ch25_ch03,ch26_ch03,ch27_ch03,ch28_ch03,ch29_ch03,ch30_ch03,ch31_ch03,ch32_ch03,ch33_ch03,ch34_ch03,ch35_ch03,ch36_ch03,ch37_ch03,ch38_ch03,ch39_ch03,ch40_ch03,ch53_ch03,ch54_ch03,ch55_ch03,ch56_ch03,ch57_ch03,ch58_ch03,ch59_ch03,ch60_ch03,ch61_ch03,ch62_ch03,ch63_ch03,ch64_ch03
KPPR1_Lung_272,ch9_ch03,0,0.859294907,0.858454814,0.869630761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_272,ch10_ch03,0.859294907,0,0.016243891,0.873922028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_272,ch11_ch03,0.858454814,0.016243891,0,0.873386216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_272,ch12_ch03,0.869630761,0.873922028,0.873386216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_273,ch13_ch03,0,0,0,0,0,0.885281121,0.88266984,0.867199455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_273,ch14_ch03,0,0,0,0,0.885281121,0,0.143624359,0.491703252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_273,ch15_ch03,0,0,0,0,0.88266984,0.143624359,0,0.371964203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_273,ch16_ch03,0,0,0,0,0.867199455,0.491703252,0.371964203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_274,ch17_ch03,0,0,0,0,0,0,0,0,0,0.731236176,0.73081319,0.758733923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_274,ch18_ch03,0,0,0,0,0,0,0,0,0.731236176,0,0.212455758,0.287637464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_274,ch19_ch03,0,0,0,0,0,0,0,0,0.73081319,0.212455758,0,0.13560049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
